CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;118
LineMandelCalculator;512;1536;1024;100;8
LineMandelCalculator;512;1536;1024;100;8
LineMandelCalculator;512;1536;1024;100;8
RefMandelCalculator;1024;3072;2048;100;473
RefMandelCalculator;1024;3072;2048;100;476
RefMandelCalculator;1024;3072;2048;100;476
LineMandelCalculator;1024;3072;2048;100;36
BatchMandelCalculator;512;1536;1024;100;1
BatchMandelCalculator;512;1536;1024;100;1
BatchMandelCalculator;512;1536;1024;100;1
LineMandelCalculator;1024;3072;2048;100;36
LineMandelCalculator;1024;3072;2048;100;35
RefMandelCalculator;2048;6144;4096;100;1887
RefMandelCalculator;2048;6144;4096;100;1896
RefMandelCalculator;2048;6144;4096;100;1896
BatchMandelCalculator;1024;3072;2048;100;7
LineMandelCalculator;2048;6144;4096;100;220
BatchMandelCalculator;1024;3072;2048;100;7
BatchMandelCalculator;1024;3072;2048;100;7
LineMandelCalculator;2048;6144;4096;100;229
LineMandelCalculator;2048;6144;4096;100;219
RefMandelCalculator;4096;12288;8192;100;7522
RefMandelCalculator;4096;12288;8192;100;7565
RefMandelCalculator;4096;12288;8192;100;7530
BatchMandelCalculator;2048;6144;4096;100;28
LineMandelCalculator;4096;12288;8192;100;895
BatchMandelCalculator;2048;6144;4096;100;28
BatchMandelCalculator;2048;6144;4096;100;28
LineMandelCalculator;4096;12288;8192;100;916
LineMandelCalculator;4096;12288;8192;100;896
RefMandelCalculator;512;1536;1024;1000;1040
RefMandelCalculator;512;1536;1024;1000;1041
RefMandelCalculator;512;1536;1024;1000;1041
BatchMandelCalculator;4096;12288;8192;100;111
LineMandelCalculator;512;1536;1024;1000;62
BatchMandelCalculator;4096;12288;8192;100;110
BatchMandelCalculator;4096;12288;8192;100;110
LineMandelCalculator;512;1536;1024;1000;62
LineMandelCalculator;512;1536;1024;1000;63
RefMandelCalculator;1024;3072;2048;1000;4167
RefMandelCalculator;1024;3072;2048;1000;4165
RefMandelCalculator;1024;3072;2048;1000;4168
BatchMandelCalculator;512;1536;1024;1000;10
LineMandelCalculator;1024;3072;2048;1000;285
BatchMandelCalculator;512;1536;1024;1000;10
BatchMandelCalculator;512;1536;1024;1000;10
LineMandelCalculator;1024;3072;2048;1000;286
LineMandelCalculator;1024;3072;2048;1000;286
RefMandelCalculator;2048;6144;4096;1000;16666
RefMandelCalculator;2048;6144;4096;1000;16664
RefMandelCalculator;2048;6144;4096;1000;16672
BatchMandelCalculator;1024;3072;2048;1000;37
LineMandelCalculator;2048;6144;4096;1000;1851
BatchMandelCalculator;1024;3072;2048;1000;37
BatchMandelCalculator;1024;3072;2048;1000;37
LineMandelCalculator;2048;6144;4096;1000;1852
LineMandelCalculator;2048;6144;4096;1000;1845
RefMandelCalculator;4096;12288;8192;1000;66635
RefMandelCalculator;4096;12288;8192;1000;66659
RefMandelCalculator;4096;12288;8192;1000;66689
BatchMandelCalculator;2048;6144;4096;1000;140
LineMandelCalculator;4096;12288;8192;1000;7499
BatchMandelCalculator;2048;6144;4096;1000;140
BatchMandelCalculator;2048;6144;4096;1000;140
LineMandelCalculator;4096;12288;8192;1000;7488
LineMandelCalculator;4096;12288;8192;1000;7489
BatchMandelCalculator;4096;12288;8192;1000;546
BatchMandelCalculator;4096;12288;8192;1000;546
BatchMandelCalculator;4096;12288;8192;1000;547
