CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;119
LineMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;512;1536;1024;100;12
RefMandelCalculator;1024;3072;2048;100;477
RefMandelCalculator;1024;3072;2048;100;477
RefMandelCalculator;1024;3072;2048;100;477
BatchMandelCalculator;512;1536;1024;100;6
BatchMandelCalculator;512;1536;1024;100;6
BatchMandelCalculator;512;1536;1024;100;6
LineMandelCalculator;1024;3072;2048;100;52
RefMandelCalculator;2048;6144;4096;100;1899
LineMandelCalculator;1024;3072;2048;100;52
RefMandelCalculator;2048;6144;4096;100;1902
LineMandelCalculator;1024;3072;2048;100;51
RefMandelCalculator;2048;6144;4096;100;1901
BatchMandelCalculator;1024;3072;2048;100;26
BatchMandelCalculator;1024;3072;2048;100;25
BatchMandelCalculator;1024;3072;2048;100;25
LineMandelCalculator;2048;6144;4096;100;254
RefMandelCalculator;4096;12288;8192;100;7570
LineMandelCalculator;2048;6144;4096;100;259
RefMandelCalculator;4096;12288;8192;100;7570
LineMandelCalculator;2048;6144;4096;100;256
RefMandelCalculator;4096;12288;8192;100;7570
BatchMandelCalculator;2048;6144;4096;100;100
BatchMandelCalculator;2048;6144;4096;100;100
BatchMandelCalculator;2048;6144;4096;100;100
RefMandelCalculator;512;1536;1024;1000;1042
LineMandelCalculator;4096;12288;8192;100;1014
LineMandelCalculator;4096;12288;8192;100;1028
RefMandelCalculator;512;1536;1024;1000;1042
RefMandelCalculator;512;1536;1024;1000;1042
LineMandelCalculator;4096;12288;8192;100;1034
BatchMandelCalculator;4096;12288;8192;100;388
BatchMandelCalculator;4096;12288;8192;100;400
BatchMandelCalculator;4096;12288;8192;100;389
RefMandelCalculator;1024;3072;2048;1000;4171
LineMandelCalculator;512;1536;1024;1000;104
LineMandelCalculator;512;1536;1024;1000;104
RefMandelCalculator;1024;3072;2048;1000;4170
RefMandelCalculator;1024;3072;2048;1000;4171
BatchMandelCalculator;512;1536;1024;1000;48
BatchMandelCalculator;512;1536;1024;1000;48
BatchMandelCalculator;512;1536;1024;1000;48
LineMandelCalculator;512;1536;1024;1000;104
RefMandelCalculator;2048;6144;4096;1000;16682
LineMandelCalculator;1024;3072;2048;1000;438
LineMandelCalculator;1024;3072;2048;1000;436
RefMandelCalculator;2048;6144;4096;1000;16685
RefMandelCalculator;2048;6144;4096;1000;16683
BatchMandelCalculator;1024;3072;2048;1000;180
BatchMandelCalculator;1024;3072;2048;1000;183
RefMandelCalculator;4096;12288;8192;1000;66725
BatchMandelCalculator;1024;3072;2048;1000;181
LineMandelCalculator;1024;3072;2048;1000;438
LineMandelCalculator;2048;6144;4096;1000;2173
RefMandelCalculator;4096;12288;8192;1000;66704
LineMandelCalculator;2048;6144;4096;1000;2192
RefMandelCalculator;4096;12288;8192;1000;66732
BatchMandelCalculator;2048;6144;4096;1000;691
BatchMandelCalculator;2048;6144;4096;1000;691
BatchMandelCalculator;2048;6144;4096;1000;699
LineMandelCalculator;2048;6144;4096;1000;2173
LineMandelCalculator;4096;12288;8192;1000;8564
LineMandelCalculator;4096;12288;8192;1000;8566
BatchMandelCalculator;4096;12288;8192;1000;2694
BatchMandelCalculator;4096;12288;8192;1000;2691
BatchMandelCalculator;4096;12288;8192;1000;2729
LineMandelCalculator;4096;12288;8192;1000;8587
