CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;119
LineMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;512;1536;1024;100;12
RefMandelCalculator;1024;3072;2048;100;478
RefMandelCalculator;1024;3072;2048;100;478
RefMandelCalculator;1024;3072;2048;100;476
LineMandelCalculator;1024;3072;2048;100;53
LineMandelCalculator;1024;3072;2048;100;53
LineMandelCalculator;1024;3072;2048;100;53
BatchMandelCalculator;512;1536;1024;100;2
BatchMandelCalculator;512;1536;1024;100;2
BatchMandelCalculator;512;1536;1024;100;2
RefMandelCalculator;2048;6144;4096;100;1898
RefMandelCalculator;2048;6144;4096;100;1901
RefMandelCalculator;2048;6144;4096;100;1895
LineMandelCalculator;2048;6144;4096;100;257
LineMandelCalculator;2048;6144;4096;100;267
LineMandelCalculator;2048;6144;4096;100;258
BatchMandelCalculator;1024;3072;2048;100;8
BatchMandelCalculator;1024;3072;2048;100;8
RefMandelCalculator;4096;12288;8192;100;7563
BatchMandelCalculator;1024;3072;2048;100;9
RefMandelCalculator;4096;12288;8192;100;7529
RefMandelCalculator;4096;12288;8192;100;7528
LineMandelCalculator;4096;12288;8192;100;1021
LineMandelCalculator;4096;12288;8192;100;1031
LineMandelCalculator;4096;12288;8192;100;1023
RefMandelCalculator;512;1536;1024;1000;1040
BatchMandelCalculator;2048;6144;4096;100;34
RefMandelCalculator;512;1536;1024;1000;1041
BatchMandelCalculator;2048;6144;4096;100;34
BatchMandelCalculator;2048;6144;4096;100;34
RefMandelCalculator;512;1536;1024;1000;1041
LineMandelCalculator;512;1536;1024;1000;104
LineMandelCalculator;512;1536;1024;1000;104
LineMandelCalculator;512;1536;1024;1000;104
RefMandelCalculator;1024;3072;2048;1000;4164
RefMandelCalculator;1024;3072;2048;1000;4167
BatchMandelCalculator;4096;12288;8192;100;136
BatchMandelCalculator;4096;12288;8192;100;137
BatchMandelCalculator;4096;12288;8192;100;137
LineMandelCalculator;1024;3072;2048;1000;454
RefMandelCalculator;1024;3072;2048;1000;4165
LineMandelCalculator;1024;3072;2048;1000;452
LineMandelCalculator;1024;3072;2048;1000;452
RefMandelCalculator;2048;6144;4096;1000;16660
RefMandelCalculator;2048;6144;4096;1000;16667
BatchMandelCalculator;512;1536;1024;1000;13
BatchMandelCalculator;512;1536;1024;1000;13
BatchMandelCalculator;512;1536;1024;1000;13
RefMandelCalculator;2048;6144;4096;1000;16665
LineMandelCalculator;2048;6144;4096;1000;2214
LineMandelCalculator;2048;6144;4096;1000;2207
LineMandelCalculator;2048;6144;4096;1000;2208
RefMandelCalculator;4096;12288;8192;1000;66638
RefMandelCalculator;4096;12288;8192;1000;66619
BatchMandelCalculator;1024;3072;2048;1000;51
BatchMandelCalculator;1024;3072;2048;1000;51
BatchMandelCalculator;1024;3072;2048;1000;51
RefMandelCalculator;4096;12288;8192;1000;66642
LineMandelCalculator;4096;12288;8192;1000;8707
LineMandelCalculator;4096;12288;8192;1000;8696
LineMandelCalculator;4096;12288;8192;1000;8702
BatchMandelCalculator;2048;6144;4096;1000;198
BatchMandelCalculator;2048;6144;4096;1000;197
BatchMandelCalculator;2048;6144;4096;1000;197
BatchMandelCalculator;4096;12288;8192;1000;774
BatchMandelCalculator;4096;12288;8192;1000;775
BatchMandelCalculator;4096;12288;8192;1000;774
