CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;118
LineMandelCalculator;512;1536;1024;100;8
LineMandelCalculator;512;1536;1024;100;8
LineMandelCalculator;512;1536;1024;100;8
RefMandelCalculator;1024;3072;2048;100;473
RefMandelCalculator;1024;3072;2048;100;473
RefMandelCalculator;1024;3072;2048;100;474
LineMandelCalculator;1024;3072;2048;100;35
LineMandelCalculator;1024;3072;2048;100;35
LineMandelCalculator;1024;3072;2048;100;35
BatchMandelCalculator;512;1536;1024;100;1
BatchMandelCalculator;512;1536;1024;100;1
BatchMandelCalculator;512;1536;1024;100;1
RefMandelCalculator;2048;6144;4096;100;1887
RefMandelCalculator;2048;6144;4096;100;1887
RefMandelCalculator;2048;6144;4096;100;1888
LineMandelCalculator;2048;6144;4096;100;228
LineMandelCalculator;2048;6144;4096;100;220
LineMandelCalculator;2048;6144;4096;100;218
BatchMandelCalculator;1024;3072;2048;100;7
BatchMandelCalculator;1024;3072;2048;100;7
BatchMandelCalculator;1024;3072;2048;100;7
RefMandelCalculator;4096;12288;8192;100;7525
RefMandelCalculator;4096;12288;8192;100;7520
RefMandelCalculator;4096;12288;8192;100;7522
LineMandelCalculator;4096;12288;8192;100;893
LineMandelCalculator;4096;12288;8192;100;916
LineMandelCalculator;4096;12288;8192;100;891
BatchMandelCalculator;2048;6144;4096;100;28
BatchMandelCalculator;2048;6144;4096;100;28
BatchMandelCalculator;2048;6144;4096;100;28
RefMandelCalculator;512;1536;1024;1000;1041
RefMandelCalculator;512;1536;1024;1000;1041
RefMandelCalculator;512;1536;1024;1000;1041
LineMandelCalculator;512;1536;1024;1000;62
LineMandelCalculator;512;1536;1024;1000;62
LineMandelCalculator;512;1536;1024;1000;62
BatchMandelCalculator;4096;12288;8192;100;110
BatchMandelCalculator;4096;12288;8192;100;110
BatchMandelCalculator;4096;12288;8192;100;110
RefMandelCalculator;1024;3072;2048;1000;4167
RefMandelCalculator;1024;3072;2048;1000;4171
RefMandelCalculator;1024;3072;2048;1000;4172
LineMandelCalculator;1024;3072;2048;1000;282
LineMandelCalculator;1024;3072;2048;1000;280
LineMandelCalculator;1024;3072;2048;1000;280
BatchMandelCalculator;512;1536;1024;1000;10
BatchMandelCalculator;512;1536;1024;1000;10
BatchMandelCalculator;512;1536;1024;1000;10
RefMandelCalculator;2048;6144;4096;1000;16670
RefMandelCalculator;2048;6144;4096;1000;16672
LineMandelCalculator;2048;6144;4096;1000;1837
RefMandelCalculator;2048;6144;4096;1000;16666
LineMandelCalculator;2048;6144;4096;1000;1849
LineMandelCalculator;2048;6144;4096;1000;1855
BatchMandelCalculator;1024;3072;2048;1000;37
BatchMandelCalculator;1024;3072;2048;1000;37
RefMandelCalculator;4096;12288;8192;1000;66658
RefMandelCalculator;4096;12288;8192;1000;66672
BatchMandelCalculator;1024;3072;2048;1000;37
LineMandelCalculator;4096;12288;8192;1000;7473
RefMandelCalculator;4096;12288;8192;1000;66688
LineMandelCalculator;4096;12288;8192;1000;7476
LineMandelCalculator;4096;12288;8192;1000;7481
BatchMandelCalculator;2048;6144;4096;1000;140
BatchMandelCalculator;2048;6144;4096;1000;140
BatchMandelCalculator;2048;6144;4096;1000;140
BatchMandelCalculator;4096;12288;8192;1000;547
BatchMandelCalculator;4096;12288;8192;1000;544
BatchMandelCalculator;4096;12288;8192;1000;544
