CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;119
LineMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;512;1536;1024;100;12
RefMandelCalculator;1024;3072;2048;100;474
RefMandelCalculator;1024;3072;2048;100;475
RefMandelCalculator;1024;3072;2048;100;475
BatchMandelCalculator;512;1536;1024;100;4
BatchMandelCalculator;512;1536;1024;100;4
BatchMandelCalculator;512;1536;1024;100;4
LineMandelCalculator;1024;3072;2048;100;52
LineMandelCalculator;1024;3072;2048;100;52
LineMandelCalculator;1024;3072;2048;100;52
RefMandelCalculator;2048;6144;4096;100;1893
RefMandelCalculator;2048;6144;4096;100;1895
RefMandelCalculator;2048;6144;4096;100;1893
BatchMandelCalculator;1024;3072;2048;100;16
BatchMandelCalculator;1024;3072;2048;100;16
BatchMandelCalculator;1024;3072;2048;100;16
LineMandelCalculator;2048;6144;4096;100;254
LineMandelCalculator;2048;6144;4096;100;255
RefMandelCalculator;4096;12288;8192;100;7541
LineMandelCalculator;2048;6144;4096;100;254
RefMandelCalculator;4096;12288;8192;100;7543
RefMandelCalculator;4096;12288;8192;100;7545
BatchMandelCalculator;2048;6144;4096;100;65
BatchMandelCalculator;2048;6144;4096;100;65
BatchMandelCalculator;2048;6144;4096;100;65
LineMandelCalculator;4096;12288;8192;100;1036
LineMandelCalculator;4096;12288;8192;100;1014
RefMandelCalculator;512;1536;1024;1000;1042
RefMandelCalculator;512;1536;1024;1000;1042
LineMandelCalculator;4096;12288;8192;100;1015
RefMandelCalculator;512;1536;1024;1000;1042
BatchMandelCalculator;4096;12288;8192;100;260
BatchMandelCalculator;4096;12288;8192;100;260
BatchMandelCalculator;4096;12288;8192;100;258
LineMandelCalculator;512;1536;1024;1000;104
LineMandelCalculator;512;1536;1024;1000;104
RefMandelCalculator;1024;3072;2048;1000;4169
RefMandelCalculator;1024;3072;2048;1000;4168
LineMandelCalculator;512;1536;1024;1000;104
RefMandelCalculator;1024;3072;2048;1000;4169
BatchMandelCalculator;512;1536;1024;1000;33
BatchMandelCalculator;512;1536;1024;1000;33
BatchMandelCalculator;512;1536;1024;1000;33
LineMandelCalculator;1024;3072;2048;1000;438
LineMandelCalculator;1024;3072;2048;1000;440
RefMandelCalculator;2048;6144;4096;1000;16672
RefMandelCalculator;2048;6144;4096;1000;16679
LineMandelCalculator;1024;3072;2048;1000;441
RefMandelCalculator;2048;6144;4096;1000;16678
BatchMandelCalculator;1024;3072;2048;1000;131
BatchMandelCalculator;1024;3072;2048;1000;131
BatchMandelCalculator;1024;3072;2048;1000;131
LineMandelCalculator;2048;6144;4096;1000;2185
LineMandelCalculator;2048;6144;4096;1000;2181
RefMandelCalculator;4096;12288;8192;1000;66701
RefMandelCalculator;4096;12288;8192;1000;66707
RefMandelCalculator;4096;12288;8192;1000;66700
LineMandelCalculator;2048;6144;4096;1000;2177
BatchMandelCalculator;2048;6144;4096;1000;518
BatchMandelCalculator;2048;6144;4096;1000;518
BatchMandelCalculator;2048;6144;4096;1000;518
LineMandelCalculator;4096;12288;8192;1000;8588
LineMandelCalculator;4096;12288;8192;1000;8576
LineMandelCalculator;4096;12288;8192;1000;8596
BatchMandelCalculator;4096;12288;8192;1000;2058
BatchMandelCalculator;4096;12288;8192;1000;2057
BatchMandelCalculator;4096;12288;8192;1000;2060
